Fecha,Hora,v4 (Voltaje) [V],m8 (10 cm) [mm],m8 (20 cm) [mm],m8 (40 cm) [mm],m8 (60 cm) [mm],m8 (80 cm) [mm],m8 (100 cm) [mm],t7 (60 cm) [C],tz (T Amb superficie) [C],v7 (Voltaje) [V]
2020-01-09,23:56:39,6.32,63.91,69.31,68.49,67.33,43.1,44.14,16.68,16.31,
2020-01-10,00:06:39,6.32,63.89,69.3,68.49,67.33,43.11,44.15,16.68,16.25,
2020-01-10,05:56:56,6.27,63.36,68.92,68.44,67.36,43.11,44.14,16.81,14.18,
2020-01-10,11:57:13,6.57,63.4,68.67,68.33,67.37,43.12,44.15,16.87,17.12,
2020-01-10,17:57:32,6.55,63.77,68.91,68.28,67.31,43.13,44.12,16.75,20.93,
2020-01-10,23:57:50,6.32,63.07,68.82,68.32,67.3,43.13,44.11,16.81,16.5,
2020-01-11,00:07:50,6.32,63.05,68.81,68.32,67.3,43.13,44.11,16.75,16.43,
2020-01-11,05:58:07,6.27,69.31,69.58,68.58,67.33,43.11,44.11,16.87,14.56,
2020-01-11,11:58:25,6.6,66.4,69.65,69.0,67.33,43.14,44.14,16.93,16.93,
2020-01-11,17:58:43,6.56,66.24,69.82,68.76,67.31,43.17,44.17,16.87,20.0,
2020-01-11,23:59:01,6.33,65.39,69.74,68.71,67.3,43.19,44.2,16.81,16.56,
2020-01-12,00:09:02,6.33,65.37,69.74,68.71,67.3,43.18,44.19,16.87,16.5,
2020-01-12,05:59:19,6.28,64.94,69.44,68.65,67.33,43.2,44.22,16.93,15.5,
2020-01-12,11:59:36,6.59,64.85,69.28,68.54,67.33,43.21,44.24,16.93,16.68,
2020-01-12,17:49:54,6.57,65.01,69.42,68.47,67.32,43.22,44.22,16.87,19.81,
2020-01-12,23:50:12,6.34,64.41,69.37,68.5,67.31,43.22,44.22,16.93,16.75,
2020-01-13,00:00:13,6.33,64.4,69.36,68.5,67.31,43.22,44.22,16.87,16.68,
2020-01-13,05:50:30,6.29,64.08,69.11,68.46,67.33,43.23,44.22,16.93,16.12,
2020-01-13,11:50:48,6.6,64.0,68.96,68.41,67.33,43.23,44.23,17.0,17.06,
2020-01-13,17:51:06,6.57,64.24,69.08,68.37,67.33,43.24,44.2,17.0,20.31,
2020-01-13,23:51:24,6.33,63.6,69.03,68.4,67.32,43.24,44.18,17.0,16.75,
2020-01-14,00:01:24,6.33,63.59,69.01,68.41,67.32,43.24,44.19,17.0,16.68,
2020-01-14,05:51:42,6.29,63.21,68.71,68.37,67.35,43.24,44.18,17.06,15.5,
2020-01-14,11:51:59,6.64,63.08,68.5,68.3,67.35,43.26,44.18,17.12,15.93,
2020-01-14,17:52:17,6.57,63.43,68.61,68.24,67.3,43.25,44.16,17.06,19.87,
2020-01-14,23:52:35,6.34,62.86,68.54,68.25,67.28,43.25,44.14,17.06,16.31,
2020-01-15,00:02:36,6.34,62.85,68.53,68.25,67.28,43.25,44.14,17.06,16.25,
2020-01-15,05:52:53,6.29,62.48,68.23,68.22,67.29,43.25,44.13,17.12,14.81,
2020-01-15,11:52:38,6.6,62.48,68.03,68.12,67.29,43.25,44.13,17.06,16.62,
2020-01-15,17:52:56,6.59,69.53,69.72,69.23,67.26,43.22,44.1,17.0,19.18,
2020-01-15,23:53:14,6.33,66.31,69.75,68.97,67.24,43.22,44.1,17.0,15.62,
2020-01-16,00:03:14,6.33,66.28,69.74,68.97,67.24,43.22,44.1,17.0,15.5,
2020-01-16,06:03:32,6.28,65.51,69.39,68.69,67.25,43.25,44.11,17.0,13.75,
2020-01-16,12:03:50,6.57,65.44,69.23,68.47,67.25,43.27,44.13,17.0,16.37,
2020-01-16,18:04:09,6.57,65.53,69.42,68.36,67.19,43.26,44.11,16.87,18.93,
2020-01-16,23:54:26,6.33,64.75,69.32,68.36,67.18,43.25,44.11,16.81,15.62,
2020-01-17,00:04:26,6.33,64.73,69.32,68.36,67.18,43.25,44.11,16.81,15.56,
2020-01-17,06:14:44,6.27,64.22,69.01,68.3,67.18,43.24,44.11,16.81,14.06,
2020-01-17,12:05:02,6.57,64.26,68.87,68.21,67.19,43.26,44.11,16.81,17.06,
2020-01-17,17:55:19,6.57,64.43,69.06,68.17,67.15,43.25,44.09,16.75,19.37,
2020-01-17,23:55:37,6.33,63.82,68.98,68.22,67.12,43.23,44.06,16.68,16.43,
2020-01-18,00:05:37,6.33,63.8,68.97,68.22,67.12,43.23,44.07,16.68,16.37,
2020-01-18,05:55:55,6.28,63.44,68.69,68.19,67.16,43.22,44.06,16.81,15.37,
2020-01-18,11:56:13,6.53,63.56,68.56,68.15,67.18,43.23,44.06,16.81,18.37,
2020-01-18,17:56:31,6.55,66.1,68.83,68.08,67.18,43.22,44.02,16.81,20.62,
2020-01-18,23:56:49,6.32,65.49,68.94,68.15,67.17,43.22,44.0,16.87,17.43,
2020-01-19,00:06:49,6.32,65.48,68.94,68.15,67.18,43.22,43.99,16.87,17.37,
2020-01-19,06:07:08,6.28,65.11,68.85,68.16,67.21,43.22,43.99,17.06,16.81,
2020-01-19,11:57:25,6.63,64.98,68.81,68.12,67.24,43.25,43.98,17.12,17.18,
2020-01-19,17:57:44,6.57,65.12,68.97,68.11,67.23,43.26,43.97,17.12,20.0,
2020-01-19,23:58:02,6.34,64.44,68.93,68.15,67.23,43.27,43.96,17.12,17.0,
2020-01-20,00:08:02,6.34,64.43,68.92,68.15,67.23,43.27,43.96,17.12,16.93,
2020-01-20,06:08:20,6.29,64.08,68.72,68.14,67.25,43.27,43.96,17.25,16.56,
2020-01-20,12:08:38,6.55,64.04,68.62,68.08,67.28,43.28,43.96,17.25,18.37,
2020-01-20,18:08:56,6.56,64.24,68.82,68.08,67.25,43.29,43.93,17.25,20.87,
2020-01-20,23:59:14,6.33,63.58,68.74,68.16,67.24,43.28,43.92,17.31,17.56,
2020-01-21,00:09:14,6.32,63.58,68.74,68.15,67.25,43.28,43.92,17.31,17.56,
2020-01-21,05:49:31,6.28,68.73,69.98,69.4,67.28,43.27,43.91,17.43,16.25,
2020-01-21,12:29:51,6.62,66.89,69.86,68.83,67.3,43.3,43.91,17.5,17.18,
2020-01-21,18:10:08,6.57,66.73,69.92,68.62,67.3,43.33,43.93,17.43,19.81,
2020-01-21,23:50:24,6.34,65.93,69.76,68.57,67.26,43.35,43.94,17.43,16.5,
2020-01-22,00:00:25,6.34,65.92,69.76,68.57,67.28,43.35,43.94,17.37,16.43,
2020-01-22,05:50:42,6.3,65.37,69.51,68.5,67.28,43.36,43.96,17.43,16.0,
2020-01-22,11:51:00,6.58,65.26,69.37,68.41,67.28,43.37,43.97,17.43,17.43,
2020-01-22,17:51:18,6.57,65.37,69.53,68.35,67.26,43.37,43.96,17.31,20.0,
2020-01-22,23:51:36,6.34,64.69,69.44,68.39,67.25,43.37,43.97,17.31,17.18,
2020-01-23,00:01:37,6.33,64.67,69.43,68.39,67.25,43.37,43.96,17.31,17.12,
2020-01-23,05:51:54,6.29,64.23,69.14,68.37,67.26,43.37,43.97,17.37,15.75,
2020-01-23,11:52:12,6.57,64.23,68.97,68.3,67.28,43.38,43.97,17.43,18.0,
2020-01-23,17:52:30,6.55,64.42,69.15,68.28,67.26,43.37,43.96,17.37,20.56,
2020-01-23,23:52:48,6.33,63.81,69.07,68.33,67.26,43.37,43.96,17.37,18.06,
2020-01-24,00:02:48,6.33,63.79,69.06,68.33,67.26,43.37,43.95,17.37,18.06,
2020-01-24,05:43:06,6.28,63.39,68.76,68.33,67.26,43.38,43.95,17.5,16.68,
2020-01-24,11:43:23,6.54,69.29,68.98,68.19,67.33,43.37,43.96,17.56,18.93,
2020-01-24,17:53:42,6.57,67.07,70.08,68.78,67.29,43.38,43.93,17.56,21.25,
2020-01-24,23:54:00,6.33,66.05,69.94,68.68,67.3,43.39,43.94,17.62,17.75,
2020-01-25,00:04:00,6.32,66.03,69.93,68.68,67.3,43.39,43.94,17.62,17.75,
2020-01-25,05:34:17,6.29,65.71,69.69,68.58,67.33,43.41,43.95,17.68,17.18,
2020-01-25,12:34:38,6.54,65.65,69.57,68.49,67.35,43.44,43.96,17.75,19.87,
2020-01-25,18:04:54,6.55,65.66,69.76,68.46,67.33,43.45,43.96,17.75,21.18,
2020-01-25,23:55:12,6.33,64.96,69.62,68.51,67.33,43.46,43.96,17.81,18.25,
2020-01-26,00:05:12,6.32,64.94,69.61,68.51,67.33,43.46,43.96,17.81,18.18,
2020-01-26,05:45:30,6.28,64.58,69.36,68.5,67.37,43.47,43.96,17.87,17.5,
2020-01-26,11:35:47,6.54,64.58,69.22,68.43,67.39,43.48,43.96,17.93,19.31,
2020-01-26,18:16:07,6.53,64.69,69.39,68.43,67.36,43.49,43.96,17.93,21.68,
2020-01-26,23:56:24,6.32,64.03,69.24,68.49,67.36,43.49,43.96,18.0,18.81,
2020-01-27,00:06:25,6.32,64.01,69.24,68.49,67.36,43.49,43.95,18.0,18.75,
2020-01-27,05:56:42,6.27,63.6,68.91,68.48,67.39,43.51,43.96,18.12,17.75,
2020-01-27,11:57:01,6.56,70.01,69.71,68.57,67.44,43.5,43.96,18.18,19.18,
2020-01-27,17:57:19,6.55,67.33,70.21,68.89,67.37,43.51,43.95,18.18,21.68,
2020-01-27,23:57:37,6.33,66.31,70.08,68.76,67.39,43.52,43.95,18.18,18.31,
2020-01-28,00:07:37,6.33,66.3,70.08,68.76,67.39,43.52,43.96,18.25,18.31,
2020-01-28,05:57:55,6.28,65.76,69.82,68.68,67.4,43.53,43.96,18.31,17.75,
2020-01-28,11:48:13,6.57,65.6,69.67,68.57,67.41,43.56,43.97,18.31,18.75,
2020-01-28,17:48:31,6.59,65.56,69.74,68.51,67.39,43.57,43.96,18.31,20.18,
2020-01-28,23:58:50,6.34,64.83,69.57,68.53,67.37,43.57,43.97,18.25,17.75,
2020-01-29,00:08:50,6.34,64.82,69.56,68.51,67.37,43.57,43.97,18.25,17.75,
2020-01-29,06:09:09,6.29,64.48,69.3,68.47,67.37,43.58,43.97,18.31,17.31,
2020-01-29,11:49:26,6.62,64.37,69.12,68.42,67.37,43.59,43.98,18.25,17.81,
2020-01-29,17:49:44,6.57,64.44,69.18,68.37,67.33,43.59,43.97,18.18,19.93,
2020-01-29,23:50:02,6.34,63.86,69.04,68.39,67.31,43.58,43.96,18.18,17.25,
2020-01-30,00:00:03,6.34,63.83,69.01,68.39,67.31,43.58,43.96,18.18,17.18,
2020-01-30,05:50:20,6.29,64.15,68.76,68.3,67.31,43.56,43.96,18.18,16.12,
2020-01-30,11:40:38,6.57,68.89,69.76,69.18,67.31,43.55,43.96,18.18,17.75,
2020-01-30,17:40:56,6.57,66.97,70.06,68.69,67.25,43.55,43.95,18.06,20.31,
2020-01-30,23:51:14,6.34,66.08,69.97,68.57,67.22,43.54,43.94,18.06,17.43,
2020-01-31,00:01:15,6.33,66.04,69.96,68.57,67.23,43.55,43.93,18.0,17.37,
2020-01-31,05:51:32,6.28,65.55,69.67,68.49,67.23,43.55,43.93,18.06,16.31,
2020-01-31,11:51:07,6.58,65.46,69.51,68.39,67.23,43.55,43.93,18.06,17.93,
2020-01-31,17:41:25,6.56,65.56,69.64,68.33,67.21,43.56,43.92,17.93,20.31,
2020-01-31,23:51:44,6.34,64.83,69.53,68.36,67.18,43.54,43.92,17.93,17.37,
2020-02-01,00:01:45,6.33,64.82,69.53,68.37,67.18,43.55,43.91,17.93,17.25,
2020-02-01,05:32:01,6.29,64.37,69.21,68.33,67.19,43.54,43.91,18.0,15.93,
2020-02-01,12:42:22,6.56,64.28,68.99,68.26,67.19,43.55,43.91,18.0,17.75,
2020-02-01,18:12:39,6.55,64.58,69.14,68.23,67.16,43.54,43.89,17.87,20.93,
2020-02-01,23:52:56,6.34,64.01,69.08,68.26,67.12,43.52,43.88,17.87,17.93,
2020-02-02,00:02:57,6.34,64.0,69.07,68.26,67.12,43.53,43.87,17.87,17.87,
2020-02-02,05:53:14,6.29,63.62,68.76,68.28,67.15,43.52,43.86,17.93,17.12,
2020-02-02,11:53:32,6.61,63.55,68.61,68.23,67.16,43.53,43.87,18.0,18.0,
2020-02-02,17:53:50,6.56,63.79,68.72,68.19,67.12,43.52,43.86,18.0,21.06,
2020-02-02,23:54:08,6.34,63.22,68.64,68.23,67.11,43.52,43.84,18.0,17.93,
2020-02-03,00:04:09,6.34,63.2,68.62,68.23,67.11,43.52,43.84,18.0,17.87,
2020-02-03,05:54:27,6.29,62.76,68.29,68.21,67.12,43.52,43.83,18.06,16.25,
2020-02-03,11:54:45,6.54,62.73,68.05,68.14,67.12,43.53,43.83,18.12,18.18,
2020-02-03,17:55:03,6.53,63.01,68.19,68.06,67.07,43.52,43.83,18.06,21.12,
2020-02-03,23:55:21,6.32,62.47,68.15,68.08,67.04,43.52,43.81,18.06,17.75,
2020-02-04,00:05:22,6.32,62.45,68.14,68.08,67.04,43.52,43.82,18.06,17.68,
2020-02-04,06:05:40,6.27,61.92,67.75,68.07,67.06,43.51,43.81,18.18,15.75,
2020-02-04,12:05:57,6.53,61.92,67.49,67.96,67.06,43.51,43.81,18.18,18.5,
2020-02-04,18:06:16,6.54,62.51,67.78,67.83,67.06,43.48,43.81,18.12,20.68,
2020-02-04,23:56:33,6.32,67.17,68.87,67.99,67.0,43.47,43.78,18.06,17.18,
2020-02-05,00:06:34,6.32,67.03,68.89,68.0,67.0,43.47,43.78,18.06,17.18,
2020-02-05,05:56:51,6.27,65.85,68.73,68.0,66.99,43.47,43.75,18.18,15.0,
2020-02-05,11:57:09,6.58,65.33,68.54,67.89,66.98,43.48,43.75,18.12,16.68,
2020-02-05,17:57:27,6.57,65.24,68.68,67.83,66.94,43.47,43.73,18.0,18.81,
2020-02-05,23:57:45,6.33,64.49,68.64,67.8,66.87,43.46,43.71,17.87,15.68,
2020-02-06,00:07:46,6.33,64.47,68.62,67.83,66.89,43.46,43.71,17.87,15.56,
2020-02-06,05:58:03,6.27,63.87,68.31,67.78,66.86,43.44,43.7,17.87,13.75,
2020-02-06,11:58:20,6.57,63.72,68.06,67.69,66.83,43.43,43.69,17.75,15.93,
2020-02-06,17:58:39,6.55,63.97,68.25,67.64,66.78,43.41,43.66,17.56,19.0,
2020-02-06,23:58:57,6.33,63.35,68.22,67.67,66.74,43.39,43.64,17.43,15.75,
2020-02-07,00:08:57,6.33,63.33,68.21,67.68,66.73,43.38,43.64,17.5,15.68,
2020-02-07,05:59:14,6.27,62.79,67.89,67.67,66.73,43.37,43.61,17.43,13.93,
2020-02-07,11:49:30,6.57,62.69,67.64,67.6,66.73,43.36,43.6,17.43,16.06,
2020-02-07,17:49:48,6.55,63.06,67.82,67.57,66.68,43.34,43.56,17.31,19.5,
2020-02-07,23:50:06,6.32,64.12,67.87,67.55,66.68,43.3,43.54,17.25,16.37,
2020-02-08,00:00:07,6.32,64.15,67.87,67.55,66.68,43.3,43.54,17.25,16.31,
2020-02-08,07:20:39,6.27,63.8,67.58,67.54,66.67,43.29,43.51,17.37,14.18,
2020-02-08,13:30:47,6.55,66.94,68.16,67.44,66.67,43.27,43.5,17.31,17.93,
2020-02-08,18:31:02,6.57,66.18,68.62,67.46,66.62,43.26,43.47,17.25,19.56,
2020-02-08,23:51:18,6.33,65.32,68.69,67.51,66.6,43.25,43.46,17.25,16.81,
2020-02-09,00:01:19,6.33,65.3,68.69,67.53,66.6,43.25,43.45,17.25,16.75,
2020-02-09,05:51:36,6.29,64.86,68.5,67.54,66.62,43.25,43.43,17.31,16.0,
2020-02-09,11:51:54,6.65,64.66,68.37,67.51,66.62,43.24,43.42,17.37,16.31,
2020-02-09,17:42:12,6.57,64.81,68.47,67.5,66.62,43.25,43.4,17.31,19.25,
2020-02-09,23:52:30,6.35,64.18,68.42,67.54,66.6,43.24,43.38,17.31,16.25,
2020-02-10,00:02:31,6.35,64.16,68.4,67.54,66.6,43.23,43.38,17.31,16.18,
2020-02-10,05:52:48,6.29,63.67,68.14,67.53,66.6,43.22,43.37,17.31,14.81,
2020-02-10,11:53:06,6.64,63.57,67.97,67.46,66.61,43.23,43.36,17.31,16.12,
2020-02-10,17:53:24,6.57,63.77,68.04,67.44,66.58,43.22,43.35,17.25,19.25,
2020-02-10,23:53:42,6.35,63.35,68.04,67.46,66.55,43.21,43.33,17.25,16.81,
2020-02-11,00:03:43,6.35,63.35,68.03,67.46,66.54,43.21,43.32,17.18,16.81,
2020-02-11,05:54:01,6.3,63.1,67.85,67.46,66.55,43.2,43.3,17.25,16.5,
2020-02-11,11:54:19,6.65,69.12,69.24,68.46,66.58,43.18,43.3,17.25,16.81,
2020-02-11,17:54:37,6.57,66.6,69.5,68.21,66.55,43.18,43.27,17.31,19.5,
2020-02-11,23:54:55,6.35,65.91,69.55,68.05,66.54,43.18,43.26,17.31,17.18,
2020-02-12,00:04:55,6.35,65.9,69.54,68.05,66.54,43.18,43.25,17.31,17.18,
2020-02-12,05:55:13,6.3,65.55,69.39,67.96,66.56,43.18,43.24,17.37,16.75,
2020-02-12,11:55:31,6.62,65.31,69.28,67.89,66.58,43.2,43.23,17.37,17.18,
2020-02-12,17:55:50,6.57,65.48,69.41,67.85,66.58,43.2,43.22,17.37,20.06,
2020-02-12,23:56:08,6.34,64.87,69.37,67.87,66.58,43.2,43.22,17.43,17.18,
2020-02-13,00:06:09,6.33,64.87,69.36,67.87,66.58,43.2,43.22,17.43,17.12,
2020-02-13,05:56:26,6.29,64.35,69.03,67.87,66.6,43.21,43.22,17.5,15.37,
2020-02-13,11:56:44,6.53,64.23,68.79,67.79,66.62,43.22,43.22,17.5,17.31,
2020-02-13,17:57:02,6.53,64.49,68.94,67.75,66.6,43.21,43.2,17.43,20.43,
2020-02-13,23:57:20,6.32,63.73,68.82,67.78,66.58,43.21,43.19,17.43,16.18,
2020-02-14,00:07:20,6.32,63.72,68.82,67.78,66.58,43.21,43.19,17.43,16.12,
2020-02-14,05:57:38,6.27,63.13,68.4,67.76,66.6,43.21,43.18,17.5,14.25,
2020-02-14,11:57:55,6.56,62.98,68.08,67.65,66.6,43.22,43.18,17.5,16.25,
2020-02-14,17:58:13,6.57,67.76,69.41,68.24,66.57,43.19,43.17,17.37,19.31,
2020-02-14,23:58:31,6.32,66.03,69.5,68.01,66.53,43.19,43.15,17.31,15.56,
2020-02-15,00:08:31,6.32,66.01,69.48,68.01,66.53,43.18,43.15,17.31,15.5,
2020-02-15,05:58:48,6.27,65.4,69.24,67.87,66.53,43.18,43.13,17.37,14.06,
2020-02-15,11:59:06,6.57,65.23,69.08,67.74,66.51,43.19,43.13,17.31,15.87,
2020-02-15,17:59:24,6.57,65.44,69.3,67.65,66.48,43.17,43.11,17.18,19.12,
2020-02-15,23:59:42,6.33,64.83,69.25,67.68,66.44,43.15,43.1,17.12,16.12,
2020-02-16,00:09:43,6.33,64.81,69.24,67.68,66.44,43.15,43.09,17.12,16.06,
2020-02-16,06:00:00,6.28,64.37,68.94,67.66,66.44,43.15,43.08,17.18,15.06,
2020-02-16,12:00:17,6.59,64.21,68.76,67.6,66.46,43.15,43.07,17.18,15.87,
2020-02-16,17:50:35,6.57,64.42,68.87,67.55,66.44,43.14,43.07,17.12,18.62,
2020-02-16,23:50:53,6.34,63.87,68.79,67.58,66.42,43.12,43.05,17.06,15.93,
2020-02-17,00:00:54,6.34,63.86,68.78,67.58,66.42,43.12,43.04,17.06,15.93,
2020-02-17,05:51:11,6.3,67.6,69.78,68.64,66.44,43.1,43.03,17.12,15.62,
2020-02-17,11:51:29,6.55,66.44,69.74,68.25,66.44,43.11,43.02,17.12,16.81,
2020-02-17,17:51:47,6.54,66.37,69.97,68.05,66.43,43.11,43.01,17.06,20.18,
2020-02-17,23:52:05,6.32,65.54,69.92,68.01,66.43,43.11,43.0,17.06,16.43,
2020-02-18,00:02:06,6.32,65.51,69.91,68.01,66.43,43.11,42.99,17.12,16.37,
2020-02-18,05:52:23,6.27,64.93,69.54,67.98,66.46,43.11,42.98,17.18,14.43,
2020-02-18,11:52:41,6.53,64.8,69.3,67.86,66.48,43.13,42.99,17.25,16.56,
2020-02-18,17:52:59,6.55,65.0,69.44,67.78,66.44,43.14,42.99,17.12,19.25,
2020-02-18,23:53:17,6.32,64.32,69.36,67.8,66.43,43.13,42.98,17.12,15.75,
2020-02-19,00:03:18,6.32,64.31,69.33,67.81,66.43,43.12,42.97,17.12,15.68,
2020-02-19,05:53:34,6.27,63.82,68.94,67.76,66.44,43.12,42.97,17.18,14.18,
2020-02-19,11:53:51,6.58,63.7,68.71,67.68,66.44,43.13,42.97,17.12,15.81,
2020-02-19,17:54:10,6.57,63.98,68.83,67.62,66.43,43.13,42.96,17.06,19.06,
2020-02-19,23:54:28,6.33,63.44,68.74,67.65,66.4,43.12,42.95,17.0,15.93,
2020-02-20,00:04:28,6.33,63.43,68.73,67.64,66.39,43.12,42.95,17.0,15.87,
2020-02-20,05:54:45,6.29,63.02,68.4,67.62,66.4,43.1,42.94,17.06,14.87,
2020-02-20,11:55:03,6.65,69.18,68.94,67.49,66.44,43.09,42.94,17.06,15.25,
2020-02-20,17:55:22,6.58,66.62,69.55,67.94,66.39,43.09,42.93,17.0,18.5,
2020-02-20,23:55:39,6.34,65.81,69.6,67.83,66.36,43.08,42.92,16.93,15.81,
2020-02-21,00:05:40,6.34,65.78,69.58,67.83,66.36,43.08,42.92,16.93,15.75,
2020-02-21,05:55:57,6.3,65.37,69.41,67.76,66.37,43.07,42.92,17.0,15.43,
2020-02-21,11:56:15,6.64,65.23,69.32,67.69,66.37,43.07,42.91,16.93,15.87,
2020-02-21,17:56:33,6.57,65.41,69.39,67.65,66.36,43.07,42.9,16.93,18.81,
2020-02-21,23:56:51,6.34,64.83,69.33,67.66,66.33,43.06,42.89,16.87,15.5,
2020-02-22,00:06:51,6.34,64.8,69.33,67.66,66.33,43.06,42.89,16.87,15.5,
2020-02-22,05:57:09,6.3,64.5,69.08,67.62,66.35,43.06,42.88,16.93,15.18,
2020-02-22,11:57:26,6.64,64.39,68.94,67.58,66.35,43.06,42.88,16.93,15.81,
2020-02-22,17:57:44,6.57,64.53,69.03,67.56,66.33,43.06,42.87,16.87,18.37,
2020-02-22,23:58:02,6.33,64.01,68.94,67.57,66.32,43.05,42.85,16.81,15.68,
2020-02-23,00:08:02,6.33,64.01,68.94,67.58,66.32,43.05,42.85,16.81,15.62,
2020-02-23,05:58:19,6.3,67.47,68.71,67.49,66.37,43.03,42.85,16.87,14.68,
2020-02-23,11:58:37,6.63,66.81,69.68,68.15,66.33,43.04,42.84,16.87,15.75,
2020-02-23,17:58:56,6.58,66.5,69.9,67.9,66.32,43.04,42.83,16.81,18.43,
2020-02-23,23:59:14,6.34,65.81,69.86,67.83,66.3,43.03,42.82,16.75,15.87,
2020-02-24,00:09:14,6.34,65.8,69.85,67.83,66.3,43.03,42.82,16.75,15.87,
2020-02-24,05:59:32,6.3,65.35,69.67,67.78,66.31,43.02,42.81,16.81,15.37,
2020-02-24,11:59:50,6.62,65.18,69.54,67.73,66.32,43.03,42.8,16.81,15.75,
2020-02-24,17:50:07,6.59,65.26,69.58,67.69,66.31,43.03,42.8,16.75,18.06,
2020-02-24,23:50:25,6.33,64.72,69.48,67.69,66.29,43.03,42.79,16.75,15.43,
2020-02-25,00:00:26,6.33,64.71,69.47,67.69,66.29,43.03,42.79,16.75,15.43,
2020-02-25,05:50:43,6.29,64.3,69.18,67.65,66.3,43.02,42.78,16.81,14.0,
2020-02-25,12:01:01,6.54,64.16,68.94,67.58,66.31,43.03,42.78,16.75,16.0,
2020-02-25,17:51:19,6.54,64.54,69.14,67.54,66.28,43.03,42.77,16.68,19.56,
2020-02-25,23:51:37,6.32,63.99,69.08,67.6,66.25,43.01,42.77,16.62,16.12,
2020-02-26,00:01:38,6.32,63.97,69.08,67.6,66.25,43.01,42.77,16.68,16.06,
2020-02-26,05:51:55,6.27,69.46,70.05,68.91,66.31,42.99,42.77,16.75,14.75,
2020-02-26,12:02:13,6.56,66.81,69.98,68.44,66.33,43.0,42.76,16.81,16.31,
2020-02-26,17:52:31,6.57,66.73,70.26,68.22,66.32,43.01,42.76,16.75,18.87,
2020-02-26,23:52:49,6.32,66.05,70.31,68.14,66.3,43.01,42.74,16.75,16.31,
2020-02-27,00:02:50,6.32,66.03,70.28,68.14,66.31,43.01,42.75,16.75,16.31,
2020-02-27,06:13:08,6.28,65.57,69.98,68.06,66.33,43.02,42.74,16.81,15.68,
2020-02-27,12:23:27,6.65,65.4,69.83,67.96,66.33,43.04,42.75,16.81,15.87,
2020-02-27,18:03:44,6.57,65.57,69.89,67.89,66.33,43.05,42.75,16.81,18.56,
