FechaHora,Nitrogeno,Fosforo,Potasio,Conductividad_Electrica,pH,Humedad,Temperatura,m8 (10 cm) [mm],m8 (20 cm) [mm],m8 (60 cm) [mm],m8 (80 cm) [mm],m8 (100 cm) [mm],tz (T Amb superficie) [C]
2020-01-10 17:54:47,154.94,67.32,232.87,4.03,6.37,63.6,18.06,58.94,54.93,70.83,75.69,50.42,20.37
2020-01-10 23:55:10,154.28,68.19,232.29,3.96,6.47,63.32,18.0,58.64,54.85,69.68,73.55,45.07,18.43
2020-01-11 00:05:11,151.07,66.31,234.26,3.96,6.63,63.31,18.06,58.63,54.85,69.66,73.54,45.05,18.37
2020-01-11 05:55:33,151.63,68.28,233.55,3.88,6.65,63.12,18.06,58.2,54.62,69.05,72.76,44.78,16.68
2020-01-11 11:55:56,152.55,67.23,233.19,4.01,6.47,65.5,18.12,63.97,57.44,68.67,72.64,44.59,18.68
2020-01-11 17:56:19,152.85,67.68,230.96,4.03,6.51,68.89,18.12,61.07,57.12,75.16,75.72,52.36,20.31
2020-01-11 23:56:42,151.76,68.94,233.14,3.96,6.62,65.9,18.18,60.05,56.26,75.18,75.75,52.28,18.62
2020-01-12 00:06:43,150.12,67.61,232.58,3.96,6.65,65.85,18.12,60.03,56.24,75.18,75.75,52.29,18.56
2020-01-12 05:57:06,149.35,66.81,230.39,3.89,6.55,64.87,18.18,59.39,55.71,75.19,75.76,52.17,17.43
2020-01-12 11:57:29,149.58,68.45,231.87,3.92,6.72,64.22,18.18,59.06,55.32,75.21,75.82,52.14,17.75
2020-01-12 17:57:52,148.91,67.29,229.97,4.03,6.52,63.73,18.25,59.02,55.08,71.28,75.82,52.04,20.25
2020-01-12 23:58:15,149.93,68.54,228.07,3.97,6.59,63.43,18.25,58.72,54.97,69.94,74.25,45.22,18.43
2020-01-13 00:08:16,147.42,66.43,227.63,3.96,6.51,63.42,18.18,58.71,54.96,69.91,74.22,45.19,18.37
2020-01-13 05:58:38,144.34,66.83,229.79,3.88,6.55,63.2,18.25,58.41,54.74,69.19,73.25,44.84,17.93
2020-01-13 11:59:01,144.13,66.05,228.37,3.95,6.58,78.71,18.25,62.84,58.96,74.75,75.78,79.48,18.43
2020-01-13 17:59:24,147.51,65.64,228.93,4.03,6.63,66.69,18.25,60.47,56.69,74.69,75.76,79.48,19.87
2020-01-13 23:59:48,143.0,67.14,227.43,3.96,6.66,65.19,18.25,59.73,56.15,74.71,75.78,79.5,18.12
2020-01-14 00:09:48,145.23,66.24,227.39,3.96,6.53,65.18,18.25,59.71,56.13,74.71,75.78,79.51,18.06
2020-01-14 06:00:11,143.11,66.03,228.85,3.88,6.61,64.41,18.25,59.19,55.7,74.69,75.78,79.51,17.37
2020-01-14 12:00:35,142.51,66.9,227.78,3.9,6.82,63.94,18.31,58.87,55.34,71.32,75.76,79.55,17.5
2020-01-14 17:50:56,141.93,65.59,225.34,4.03,6.76,63.53,18.31,58.86,55.08,69.98,73.87,45.58,19.43
2020-01-14 23:51:20,143.43,66.54,225.59,3.96,6.58,63.27,18.25,58.62,54.95,69.11,72.89,45.04,18.0
2020-01-15 00:01:20,140.62,66.02,225.17,3.96,6.69,63.25,18.25,58.6,54.94,69.1,72.87,45.02,17.93
2020-01-15 05:51:43,140.1,68.44,225.18,3.88,6.77,63.06,18.25,58.24,54.72,68.67,72.68,44.86,16.75
2020-01-15 11:52:06,137.14,65.54,224.08,3.97,6.8,62.84,18.25,58.09,54.46,68.37,72.58,44.7,18.43
2020-01-15 17:52:24,139.01,64.94,223.05,4.03,6.72,62.6,18.25,58.19,54.35,68.01,72.44,44.47,19.56
2020-01-15 23:52:47,138.88,65.72,223.06,3.97,6.61,62.45,18.18,57.98,54.26,67.76,72.36,44.32,17.56
2020-01-16 00:02:48,137.8,66.38,222.11,3.96,6.63,62.44,18.25,60.31,54.59,67.76,72.36,44.32,17.5
2020-01-16 05:53:10,138.93,65.24,223.96,3.88,6.58,72.36,18.25,61.38,57.74,75.12,75.79,78.26,16.37
2020-01-16 11:53:33,136.27,65.52,222.98,3.91,6.51,66.25,18.25,60.09,56.53,75.14,75.79,78.26,17.75
2020-01-16 17:53:56,136.05,64.71,220.9,4.03,6.61,64.94,18.18,59.79,56.06,75.15,75.83,78.26,19.62
2020-01-16 23:54:19,137.62,65.1,221.12,3.96,6.78,64.26,18.18,59.28,55.77,75.12,75.85,78.26,17.75
2020-01-17 00:04:20,132.1,66.31,219.97,3.96,6.61,64.25,18.18,59.27,55.76,75.12,75.85,78.26,17.68
2020-01-17 05:44:45,133.09,66.78,221.18,3.89,6.57,63.91,18.18,58.78,55.4,71.48,75.89,78.29,16.18
2020-01-17 12:05:07,135.45,66.2,220.65,3.96,6.7,63.55,18.18,58.56,55.04,70.08,74.73,46.74,18.06
2020-01-17 17:55:28,133.95,66.73,219.72,3.95,6.46,78.19,18.18,65.83,61.38,74.54,75.81,75.49,20.68
2020-01-17 23:55:52,132.99,65.59,219.62,3.89,6.74,67.06,18.18,60.74,57.11,74.44,75.79,77.48,18.75
2020-01-18 00:05:52,132.52,66.31,218.91,3.89,6.48,66.99,18.18,60.71,57.09,74.44,75.79,77.48,18.68
2020-01-18 05:56:15,130.96,66.0,218.89,3.82,6.64,65.4,18.25,59.87,56.4,74.44,75.81,77.46,17.37
2020-01-18 11:56:38,132.2,65.49,217.71,3.89,6.68,64.57,18.25,59.54,55.91,74.44,75.83,77.46,19.37
2020-01-18 17:57:01,129.46,62.88,216.91,3.97,6.57,64.0,18.25,59.59,55.71,70.87,75.56,73.42,21.06
2020-01-18 23:57:24,128.72,65.2,215.82,3.91,6.67,63.69,18.25,59.21,55.55,69.76,73.49,45.57,19.12
2020-01-19 00:07:25,127.85,66.27,214.27,3.91,6.66,63.69,18.25,59.2,55.54,69.75,73.47,45.55,19.12
2020-01-19 06:07:48,127.3,64.39,215.6,3.83,6.84,63.47,18.31,58.87,55.29,69.08,72.82,45.26,18.56
2020-01-19 11:58:10,124.69,67.08,214.33,3.81,6.6,63.28,18.37,58.67,55.06,68.72,72.57,45.09,18.81
2020-01-19 17:58:33,126.97,65.98,214.73,4.03,6.47,63.03,18.43,58.72,54.86,68.31,72.35,44.84,20.75
2020-01-19 23:58:56,124.96,66.65,215.51,3.96,6.6,62.86,18.43,58.51,54.77,68.01,72.24,44.67,19.18
2020-01-20 00:08:57,127.18,66.85,214.01,3.96,6.73,62.85,18.43,58.5,54.77,68.01,72.24,44.67,19.12
2020-01-20 05:59:19,123.8,62.73,212.93,3.88,6.7,62.71,18.43,58.23,54.58,67.83,72.22,44.59,18.5
2020-01-20 11:59:42,123.72,65.87,212.01,3.9,6.65,74.37,18.5,62.45,58.58,75.32,75.67,77.91,19.68
2020-01-20 17:50:04,122.7,65.06,210.95,4.03,6.62,66.35,18.56,60.85,56.99,75.31,75.64,77.91,21.31
2020-01-20 23:50:27,120.9,65.98,213.35,3.96,6.72,65.24,18.56,60.09,56.45,75.32,75.69,77.94,19.31
2020-01-21 00:00:28,122.42,65.68,209.54,3.96,6.73,65.23,18.56,60.08,56.43,75.33,75.69,77.94,19.25
2020-01-21 05:40:50,122.86,64.01,209.92,3.89,6.54,64.64,18.56,59.57,56.02,75.33,75.73,77.96,18.43
2020-01-21 12:21:16,119.98,63.53,207.92,3.87,6.71,64.18,18.62,59.21,55.61,71.93,75.79,77.99,18.56
2020-01-21 18:01:37,119.55,63.46,209.56,4.03,6.57,63.83,18.62,59.15,55.35,70.3,74.89,49.54,20.0
2020-01-21 23:51:59,119.47,64.61,208.93,3.97,6.68,63.56,18.62,58.9,55.18,69.37,73.44,45.3,18.43
2020-01-22 00:02:00,117.16,63.4,208.35,3.97,6.62,63.56,18.62,58.89,55.18,69.36,73.39,45.29,18.37
2020-01-22 05:52:23,119.73,63.3,208.3,3.89,6.69,63.35,18.62,58.58,54.95,68.87,72.6,45.0,17.81
2020-01-22 11:52:46,120.38,63.64,207.14,3.91,6.74,63.14,18.62,58.42,54.72,68.55,72.37,44.84,18.5
2020-01-22 17:53:09,138.0,64.6,217.86,4.03,6.64,78.62,18.68,60.26,57.24,75.3,75.68,78.08,21.12
2020-01-22 23:53:32,137.19,63.37,220.46,3.96,6.96,67.28,18.68,59.84,56.51,75.25,75.61,78.03,19.31
2020-01-23 00:03:33,134.53,65.24,217.9,3.96,6.51,67.18,18.68,59.81,56.49,75.26,75.58,78.03,19.25
2020-01-23 06:03:56,134.1,63.26,218.82,3.88,6.69,65.67,18.68,59.26,56.0,75.29,75.62,78.05,17.68
2020-01-23 11:54:19,135.64,65.49,216.66,3.98,6.77,64.91,18.75,59.03,55.64,75.31,75.69,78.07,19.37
2020-01-23 17:54:41,132.93,62.94,218.94,4.02,6.65,64.33,18.68,59.26,55.47,72.01,75.73,78.07,21.87
2020-01-23 23:55:04,131.86,63.75,218.47,3.96,6.59,64.01,18.68,59.05,55.41,70.32,74.68,47.91,20.25
2020-01-24 00:05:05,134.11,64.01,216.75,3.96,6.67,64.01,18.68,59.04,55.4,70.28,74.66,47.76,20.18
2020-01-24 05:55:28,132.8,62.83,215.0,3.88,6.66,63.81,18.68,58.69,55.22,69.51,73.16,45.32,18.68
2020-01-24 11:55:51,130.87,63.03,215.9,3.91,6.49,69.01,18.75,58.55,55.08,74.44,74.75,45.04,20.43
2020-01-24 17:56:13,129.53,64.0,215.43,4.03,6.9,70.5,18.87,60.23,56.94,74.51,75.6,77.5,21.93
2020-01-24 23:56:36,126.74,63.19,215.24,3.96,6.83,66.4,18.93,59.65,56.4,74.53,75.62,77.55,20.0
2020-01-25 00:06:38,130.21,63.04,213.61,3.96,6.49,66.37,18.93,59.63,56.39,74.53,75.62,77.55,20.0
2020-01-25 05:36:59,127.21,63.15,212.48,3.88,6.48,65.49,18.93,59.25,56.02,74.54,75.66,77.55,19.31
2020-01-25 12:37:25,125.1,63.73,213.87,3.95,6.55,64.81,19.0,59.11,55.64,74.55,75.72,77.56,21.12
2020-01-25 18:17:47,129.94,62.63,213.24,4.03,6.67,64.39,19.0,59.16,55.53,70.6,74.89,50.21,21.68
2020-01-25 23:58:09,127.76,65.22,212.92,3.96,6.72,64.16,19.06,58.9,55.43,69.74,73.19,45.45,20.12
2020-01-26 00:08:10,124.36,61.47,213.73,3.95,6.68,64.15,19.06,58.89,55.42,69.72,73.15,45.44,20.06
2020-01-26 05:48:31,123.48,63.44,210.8,3.88,6.83,63.97,19.06,58.61,55.22,69.21,72.64,45.19,19.25
2020-01-26 11:28:53,125.94,63.19,213.06,3.9,6.66,63.76,19.12,58.5,55.02,68.91,72.46,45.03,20.5
2020-01-26 18:09:18,122.86,62.93,210.88,4.03,6.7,63.49,19.12,58.72,54.92,68.55,72.24,44.78,22.31
2020-01-26 23:59:40,125.35,61.78,210.78,3.96,6.76,63.36,19.18,58.5,54.87,68.25,72.15,44.64,20.62
2020-01-27 00:09:41,123.8,63.85,209.97,3.96,6.7,63.34,19.18,58.49,54.86,68.24,72.16,44.64,20.62
2020-01-27 06:00:04,123.03,61.4,210.53,3.88,6.54,63.23,19.25,58.21,54.7,68.05,72.14,44.56,19.68
2020-01-27 12:00:27,122.17,63.64,208.07,3.91,6.72,79.29,19.31,59.2,57.04,75.37,75.69,77.71,20.81
2020-01-27 17:50:48,121.31,62.95,209.14,4.03,6.78,66.85,19.31,59.44,56.23,75.32,75.58,77.6,22.25
2020-01-27 23:51:12,121.71,62.45,208.82,3.96,6.57,65.73,19.31,59.12,55.94,75.37,75.64,77.62,20.31
2020-01-28 00:01:12,119.32,61.62,210.2,3.96,6.75,65.71,19.31,59.1,55.92,75.37,75.64,77.62,20.25
2020-01-28 06:01:36,120.13,62.15,208.72,3.88,6.84,65.12,19.37,58.81,55.71,75.39,75.66,77.64,19.68
2020-01-28 12:01:59,121.13,60.39,208.86,3.95,6.61,64.72,19.43,58.63,55.42,75.42,75.68,77.66,20.31
2020-01-28 18:02:22,120.84,63.45,207.85,4.03,6.64,64.37,19.43,58.77,55.27,70.85,75.16,75.24,21.87
2020-01-28 23:52:44,118.21,62.9,206.4,3.96,6.58,64.12,19.43,58.55,55.2,69.98,73.65,45.57,20.12
2020-01-29 00:02:45,119.25,63.24,208.09,3.96,6.77,64.12,19.43,58.55,55.19,69.96,73.62,45.54,20.06
2020-01-29 05:43:07,120.38,61.4,205.86,3.88,6.7,63.95,19.43,58.29,55.02,69.44,72.74,45.11,19.43
2020-01-29 11:33:31,119.39,61.98,205.72,3.86,6.7,78.75,19.5,59.57,57.29,74.76,75.53,74.83,19.5
2020-01-29 17:53:53,122.66,63.17,206.09,4.03,6.79,67.35,19.43,59.58,56.48,74.68,75.48,73.91,21.43
2020-01-29 23:54:16,119.41,62.75,206.59,3.96,6.8,65.94,19.43,59.17,56.14,74.71,75.56,73.98,19.37
2020-01-30 00:04:17,119.76,63.62,204.97,3.96,6.69,65.93,19.43,59.16,56.13,74.72,75.56,73.97,19.31
2020-01-30 05:44:39,121.15,62.87,206.43,3.88,6.73,65.36,19.43,58.77,55.82,74.71,75.6,73.86,18.18
2020-01-30 11:55:02,120.5,62.73,203.85,3.91,6.78,64.94,19.43,58.61,55.51,72.33,75.68,73.9,19.56
2020-01-30 17:55:25,119.78,62.47,204.79,4.03,6.72,64.54,19.43,58.81,55.38,70.42,74.41,47.89,21.43
2020-01-30 23:55:48,118.87,63.75,203.87,3.96,6.68,64.32,19.37,58.59,55.32,69.69,72.92,45.34,19.56
2020-01-31 00:05:49,120.45,61.73,205.09,3.96,6.56,64.31,19.37,58.58,55.31,69.68,72.9,45.34,19.5
2020-01-31 05:56:12,121.56,61.5,203.28,3.88,6.42,64.14,19.37,58.23,55.12,69.25,72.6,45.12,18.12
2020-01-31 12:06:36,120.72,62.14,200.64,3.98,6.78,79.05,19.37,59.58,57.33,75.0,75.67,77.11,19.37
2020-01-31 17:56:57,118.83,62.06,203.26,4.03,6.73,67.01,19.37,59.52,56.51,74.99,75.6,76.67,21.06
2020-01-31 23:57:20,122.61,61.79,201.75,3.96,6.77,65.93,19.37,59.16,56.19,75.04,75.68,76.75,19.31
2020-02-01 00:07:21,117.83,62.91,200.85,3.96,6.73,65.91,19.31,59.15,56.19,75.04,75.68,76.75,19.25
2020-02-01 05:47:43,117.63,62.35,202.31,3.89,6.55,65.42,19.37,58.75,55.87,75.05,75.68,76.79,17.87
2020-02-01 12:58:11,121.44,61.36,200.35,4.01,6.87,64.98,19.37,58.55,55.52,71.62,75.76,76.91,18.93
2020-02-01 18:38:33,120.34,64.1,200.93,4.03,6.93,64.64,19.31,58.75,55.39,70.31,74.42,47.84,21.18
2020-02-01 23:58:54,119.18,61.2,199.08,3.96,6.61,64.43,19.31,58.61,55.35,69.73,73.16,45.54,19.62
2020-02-02 00:08:54,118.35,62.35,198.73,3.96,6.69,64.43,19.31,58.6,55.34,69.69,73.14,45.52,19.56
2020-02-02 06:09:17,123.48,60.79,201.13,3.88,6.49,64.25,19.25,58.32,55.16,69.26,72.56,45.26,18.75
2020-02-02 11:49:39,120.18,61.06,198.1,3.88,6.64,64.07,19.31,58.2,54.99,69.01,72.41,45.11,19.25
2020-02-02 17:50:02,120.8,61.21,197.99,4.03,6.77,63.84,19.25,58.4,54.86,68.74,72.23,44.9,21.43
2020-02-02 23:50:25,120.48,63.47,196.57,3.96,6.79,63.68,19.25,58.23,54.81,68.48,72.14,44.76,19.75
2020-02-03 00:00:26,120.65,61.58,199.75,3.96,6.68,63.67,19.25,58.22,54.81,68.47,72.14,44.75,19.68
2020-02-03 05:50:49,120.81,61.62,198.1,3.88,6.66,63.54,19.25,57.88,54.65,68.26,72.11,44.67,17.87
2020-02-03 11:51:12,121.1,59.87,197.52,3.96,6.78,63.35,19.31,57.78,54.43,68.1,72.07,44.6,19.62
2020-02-03 17:41:34,119.44,61.56,197.93,4.03,6.69,79.44,19.31,59.06,56.67,75.33,75.69,78.25,21.5
2020-02-03 23:51:58,119.56,60.18,195.25,3.96,6.61,66.94,19.37,59.16,56.3,75.31,75.58,78.21,19.62
2020-02-04 00:01:58,117.39,60.51,195.65,3.96,6.72,66.91,19.37,59.15,56.3,75.31,75.58,78.21,19.56
2020-02-04 05:52:21,118.83,61.62,195.76,3.88,6.62,66.04,19.31,58.68,55.87,75.36,75.62,78.22,17.81
2020-02-04 12:02:45,120.41,60.61,193.83,3.98,6.87,65.43,19.37,58.55,55.51,75.42,75.69,78.23,19.87
2020-02-04 18:03:07,121.57,62.62,196.39,4.03,6.59,64.99,19.31,58.89,55.4,75.42,75.76,78.23,22.37
2020-02-04 23:53:30,120.9,62.33,194.52,3.96,6.71,64.73,19.31,58.7,55.38,71.54,75.81,78.26,20.0
2020-02-05 00:03:31,119.49,61.12,193.69,3.96,6.61,64.73,19.31,58.68,55.37,71.51,75.82,78.26,19.87
2020-02-05 05:53:54,118.11,60.94,193.91,3.88,6.63,64.53,19.31,58.26,55.16,70.53,75.01,61.81,17.87
2020-02-05 11:54:16,115.83,60.63,192.48,3.98,6.81,64.28,19.37,58.06,54.89,69.97,73.51,45.77,19.25
2020-02-05 17:54:39,121.73,61.09,193.03,4.03,6.78,70.9,19.37,59.46,56.62,74.53,75.6,70.08,21.31
2020-02-05 23:55:03,119.12,61.19,196.14,3.96,6.87,66.8,19.37,59.04,56.19,74.54,75.62,69.48,19.06
2020-02-06 00:05:03,119.33,60.38,192.89,3.96,6.71,66.76,19.37,59.02,56.19,74.53,75.62,69.48,19.06
2020-02-06 06:05:27,120.2,59.37,193.77,3.88,6.87,65.92,19.37,58.54,55.81,74.56,75.69,69.33,16.93
2020-02-06 12:05:50,117.89,60.81,191.22,4.01,6.76,65.44,19.37,58.36,55.45,74.58,75.73,69.54,18.62
2020-02-06 17:56:12,119.48,60.67,190.47,4.03,6.69,65.05,19.31,58.58,55.31,71.39,75.75,69.37,20.37
2020-02-06 23:56:35,123.04,59.72,191.16,3.96,6.62,64.76,19.25,58.43,55.26,70.33,73.76,46.59,18.5
2020-02-07 00:06:36,120.76,60.32,189.03,3.96,6.83,64.76,19.25,58.43,55.26,70.32,73.73,46.47,18.43
2020-02-07 05:56:59,120.54,59.48,187.77,3.88,6.8,64.55,19.25,58.16,55.05,69.82,72.81,45.32,16.68
2020-02-07 11:47:21,117.63,60.91,190.79,3.95,6.87,64.32,19.25,58.13,54.79,69.43,72.48,45.12,18.56
2020-02-07 17:57:44,123.37,60.4,190.41,4.03,6.74,64.05,19.18,58.37,54.69,69.08,72.19,44.87,20.56
2020-02-07 23:58:08,117.87,60.39,190.24,3.96,6.77,63.88,19.12,58.19,54.66,68.79,72.04,44.71,18.68
2020-02-08 00:08:09,122.88,60.92,189.12,3.96,6.76,63.87,19.12,58.18,54.65,68.78,72.04,44.71,18.62
2020-02-08 07:58:46,116.83,62.41,190.85,3.86,6.73,63.67,19.12,57.71,54.41,68.43,71.98,44.58,16.37
2020-02-08 13:39:00,138.83,63.87,199.71,4.03,6.84,63.43,19.12,57.8,54.2,68.24,71.91,44.48,19.62
2020-02-08 19:09:21,138.87,64.41,198.99,4.03,6.78,63.2,19.06,57.98,54.15,68.04,71.83,44.35,20.37
2020-02-08 23:59:40,134.91,64.91,196.18,3.96,6.76,63.07,19.06,57.82,54.12,67.87,71.76,44.25,18.75
2020-02-09 00:09:41,136.46,63.63,199.08,3.96,6.66,63.07,19.06,57.82,54.12,67.87,71.76,44.24,18.68
2020-02-09 06:00:04,136.34,64.65,199.7,3.88,6.82,62.95,19.06,57.55,53.99,67.72,71.73,44.16,17.93
2020-02-09 11:50:27,134.06,64.98,198.54,3.85,6.73,62.79,19.06,57.45,53.84,67.58,71.69,44.07,18.18
2020-02-09 17:50:49,132.82,63.65,199.46,4.03,6.71,62.52,19.06,57.55,53.68,67.42,71.61,43.97,20.06
2020-02-09 23:51:13,132.84,66.59,200.54,3.96,6.8,62.35,19.0,57.48,53.65,67.28,71.53,43.84,18.5
2020-02-10 00:01:13,135.26,61.74,197.77,3.96,6.93,62.34,19.0,57.46,53.65,67.28,71.53,43.84,18.43
2020-02-10 06:01:37,134.1,62.74,198.99,3.88,6.91,62.22,19.0,57.07,53.51,67.16,71.5,43.73,16.75
2020-02-10 11:52:00,133.13,62.29,195.83,3.86,6.71,80.12,18.93,57.61,55.42,75.48,75.37,78.82,17.62
2020-02-10 17:52:22,135.1,64.69,198.37,4.03,6.69,66.53,18.87,58.11,55.09,75.42,75.23,78.76,19.68
2020-02-10 23:52:46,134.13,63.74,197.09,3.96,6.82,65.68,18.81,58.08,54.95,75.47,75.28,78.78,18.43
2020-02-11 00:02:46,131.81,62.63,196.53,3.96,6.72,65.66,18.81,58.08,54.94,75.46,75.26,78.78,18.43
2020-02-11 05:53:09,130.9,64.22,196.3,3.88,6.76,65.23,18.81,57.99,54.78,75.48,75.36,78.79,18.18
2020-02-11 11:53:33,133.14,63.05,196.1,3.86,6.54,64.86,18.81,57.88,54.62,75.53,75.44,78.81,18.37
2020-02-11 17:53:55,131.23,66.09,195.65,4.03,6.75,64.55,18.81,57.99,54.46,75.55,75.5,78.82,20.0
2020-02-11 23:54:18,131.93,62.77,195.98,3.96,6.82,64.31,18.81,57.9,54.41,71.51,75.56,78.83,18.75
2020-02-12 00:04:18,133.79,64.41,195.29,3.96,6.72,64.31,18.81,57.89,54.41,71.48,75.56,78.83,18.75
2020-02-12 05:54:41,131.86,62.18,194.02,3.88,6.73,64.12,18.81,57.85,54.31,70.61,75.6,78.85,18.37
2020-02-12 11:55:05,129.44,63.77,195.48,3.86,6.8,78.79,18.81,58.17,55.71,74.64,76.03,77.46,18.56
2020-02-12 17:55:27,130.59,62.71,194.25,3.99,6.76,67.15,18.75,58.74,55.79,74.54,75.87,76.93,20.93
2020-02-12 23:55:51,128.46,61.78,195.77,3.93,6.81,66.14,18.75,58.61,55.52,74.57,75.87,76.75,19.12
2020-02-13 00:05:51,131.88,60.96,194.42,3.93,6.76,66.11,18.75,58.59,55.51,74.57,75.87,76.75,19.06
2020-02-13 05:56:14,128.33,62.79,194.32,3.85,6.77,65.62,18.81,58.28,55.26,74.57,75.89,76.83,17.56
2020-02-13 11:56:37,129.17,64.08,191.81,3.94,6.72,65.24,18.81,58.14,54.99,74.6,75.9,76.94,19.12
2020-02-13 17:57:00,128.92,63.06,192.43,4.02,6.87,64.89,18.81,58.53,54.9,71.39,75.89,76.93,21.37
2020-02-13 23:57:23,128.33,61.5,194.46,3.96,6.85,64.67,18.81,58.29,54.86,70.54,74.83,48.92,18.75
2020-02-14 00:07:24,124.79,64.45,192.48,3.96,6.79,64.66,18.81,58.28,54.86,70.53,74.78,48.79,18.75
2020-02-14 05:57:47,125.33,63.38,192.49,3.88,6.86,64.49,18.81,57.89,54.67,70.11,73.26,45.53,16.81
2020-02-14 11:58:09,126.5,63.73,192.5,3.97,6.78,79.03,18.87,58.0,55.67,74.93,75.69,76.51,18.56
2020-02-14 17:58:32,127.38,63.35,194.01,4.02,6.76,67.01,18.81,58.7,55.63,74.83,75.61,76.42,20.31
2020-02-14 23:58:56,126.35,65.52,192.71,3.96,6.91,66.14,18.81,58.48,55.46,74.87,75.67,76.44,18.06
2020-02-15 00:08:56,124.8,63.02,193.49,3.96,6.77,66.11,18.75,58.47,55.45,74.87,75.66,76.44,18.0
